Entity,Code,Year,Oil (terawatt-hours),Gas (terawatt-hours),Coal (terawatt-hours),Solar PV (Terawatt-hours),Other renewables (Terawatt-hours),Wind (Terawatt-hours),Nuclear (Terawatt-hours),Hydropower (Terawatt-hours)
Africa,,1965,316.77730010650544,10.552653000000003,335.5907572686832,0,0,0,0,14.278805574733003
Africa,,1966,347.368863196162,11.788922000000001,331.37197812520344,0,0,0,0,15.649048937511
Africa,,1967,344.12966847072107,11.660342,341.010826888406,0,0,0,0,16.158332959103998
Africa,,1968,363.1425067293242,11.901662,355.4072587079686,0,0,0,0,18.622982764834003
Africa,,1969,368.62993197182993,14.177457000000002,357.50639456711264,0,0,0,0,21.582896820817
Africa,,1970,409.3456166173373,17.536895,367.9708149254619,0,0,0,0,27.076287015552
Africa,,1971,460.74091830108034,20.02041699,388.73192834061405,0,0.164,0,0,25.836605304094004
Africa,,1972,499.339412312327,26.614329056510996,392.44496455459625,0,0.165,0,0,29.836878415376
Africa,,1973,536.6344732406361,42.48090161999999,414.9090023304431,0,0.17,0,0,29.803741951533002
Africa,,1974,555.1184176935685,47.545589956510995,432.14098680538626,0,0.17500000000000002,0,0,35.089185489357014
Africa,,1975,581.4164769899894,57.618468650000004,459.07949328897803,0,0.17200000000000001,0,0,36.87904837115801
Africa,,1976,650.0473991073231,65.74713429,481.95030734476967,0,0.185,0,0,40.861179239816025
Africa,,1977,684.2800918018633,73.58644182,492.92282312211705,0,0.189,0,0,45.083351122531006
Africa,,1978,716.2458667995543,105.14898662,477.93274097354475,0,0.195,0,0,46.08507934057501
Africa,,1979,760.3071803837969,160.88627512,504.55183424387053,0,0.201,0,0,47.28020678387999
Africa,,1980,811.9596630846279,204.149021733884,543.885685628317,0,0.20700000000000002,0,0,46.0301705558753
Africa,,1981,859.8852986061552,249.78072977614502,636.1955236882933,0,0.218,0,0,48.37744646187052
Africa,,1982,904.4871091015399,269.467138229013,702.5677828299104,0,0.23600000000000002,0,0,48.63271473477219
