Data Source,WDI Database Archives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,5/1/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,Electricity production from renewable sources (kWh),EG.ELC.RNEW.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Electricity production from renewable sources (kWh),EG.ELC.RNEW.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Electricity production from renewable sources (kWh),EG.ELC.RNEW.KH,,,,,,,,,,,,12100000000,13600000000,16280000000,17160000000,19000000000,8560000000,8560000000,10560000000,11100000000,11900000000,11900000000,12620000000,11560000000,12020000000,14020000000,14020000000,14020000000,14020000000,14200000000,14500000000,15440000000,16800000000,17800000000,17900000000,18000000000,18500000000,17500000000,21200000000,17880000000,18240000000,20340000000,22860000000,24820000000,35000000000,44380000000,53300000000,49940000000,62680000000,62354000000,51338000000,44077000000,,,,,,,,
Albania,ALB,Electricity production from renewable sources (kWh),EG.ELC.RNEW.KH,,,,,,,,,,,,14000000000,18000000000,22540000000,26000000000,32000000000,38000000000,44000000000,48000000000,54000000000,59000000000,61000000000,62500000000,64000000000,54780000000,42600000000,81220000000,67000000000,58780000000,61560000000,56960000000,70360000000,64520000000,66280000000,75420000000,84080000000,1.1452E+11,1.0056E+11,98420000000,1.0568E+11,91880000000,71100000000,70240000000,99404000000,1.0932E+11,1.0746E+11,1.0604E+11,55760000000,75940000000,1.0427E+11,1.06106E+11,45738000000,,,,,,,,
Andorra,AND,Electricity production from renewable sources (kWh),EG.ELC.RNEW.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands Antilles,ANT,Electricity production from renewable sources (kWh),EG.ELC.RNEW.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab League states,ARB,Electricity production from renewable sources (kWh),EG.ELC.RNEW.KH,,,,,,,,,,,,1.6556E+11,1.7476E+11,1.677E+11,1.9984E+11,2.1356E+11,2.4994E+11,2.8732E+11,3.0326E+11,3.2506E+11,3.254E+11,3.2684E+11,3.2806E+11,3.0354E+11,3.1464E+11,3.0366E+11,3.0246E+11,3.4176E+11,3.4206E+11,3.6354E+11,3.6262E+11,3.3438E+11,3.2192E+11,3.2726E+11,3.4164E+11,3.4088E+11,3.7458E+11,3.869E+11,3.8846E+11,4.137E+11,4.0546E+11,4.451E+11,3.8504E+11,4.2554E+11,4.476E+11,5.564E+11,5.4472E+11,5.8354E+11,5.0912E+11,5.29376E+11,4.62399E+11,3.61691E+11,,,,,,,,
United Arab Emirates,ARE,Electricity production from renewable sources (kWh),EG.ELC.RNEW.KH,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Argentina,ARG,Electricity production from renewable sources (kWh),EG.ELC.RNEW.KH,,,,,,,,,,,,32020000000,31560000000,61020000000,1.0172E+11,1.0526E+11,1.014E+11,1.1654E+11,1.5626E+11,2.1506E+11,3.048E+11,2.9538E+11,3.5404E+11,3.7138E+11,3.995E+11,4.1524E+11,4.2232E+11,4.3898E+11,3.0308E+11,2.6168E+11,3.5966E+11,3.2642E+11,3.8972E+11,4.7948E+11,5.4962E+11,5.3898E+11,4.6554E+11,5.6954E+11,5.387E+11,4.3932E+11,5.8968E+11,7.5395E+11,7.3593E+11,6.98636E+11,6.33844E+11,7.07424E+11,7.95419E+11,6.44029E+11,6.4368E+11,7.11304E+11,5.01276E+11,3.70887E+11,,,,,,,,
Armenia,ARM,Electricity production from renewable sources (kWh),EG.ELC.RNEW.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31100000000,30920000000,60880000000,85860000000,70280000000,38380000000,31440000000,27800000000,30740000000,24000000000,25220000000,19360000000,33160000000,39640000000,39960000000,35460000000,36500000000,37120000000,35992000000,40460000000,35882000000,27412000000,,,,,,,,
American Samoa,ASM,Electricity production from renewable sources (kWh),EG.ELC.RNEW.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Electricity production from renewable sources (kWh),EG.ELC.RNEW.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,Electricity production from renewable sources (kWh),EG.ELC.RNEW.KH,86020000000,98480000000,1.0424E+11,1.38E+11,1.4258E+11,1.7178E+11,1.4696E+11,1.5824E+11,1.5778E+11,1.7306E+11,1.8298E+11,2.3688E+11,2.3706E+11,2.3498E+11,2.7258E+11,3.0346E+11,3.1098E+11,2.7152E+11,2.8574E+11,3.1574E+11,2.6654E+11,2.896E+11,2.8224E+11,2.5126E+11,2.5054E+11,2.8236E+11,2.9924E+11,2.8134E+11,3.0058E+11,3.053E+11,2.9796E+11,3.318E+11,3.20446E+11,3.44412E+11,3.40858E+11,3.32638E+11,3.27264E+11,3.5017E+11,3.28996E+11,3.47984E+11,3.51836E+11,3.63276E+11,3.57528E+11,3.7289E+11,3.73666E+11,3.89934E+11,4.19221E+11,4.08156E+11,3.8391E+11,3.75809E+11,4.14004E+11,3.55732E+11,2.63681E+11,,,,,,,
