Entity,Code,Year,Crude oil prices (US dollars per barrel)
"$2,016 ",,1861,13.03598741
"$2,016 ",,1862,25.14083285
"$2,016 ",,1863,61.15337721
"$2,016 ",,1864,123.1824394
"$2,016 ",,1865,102.905645
"$2,016 ",,1866,61.05630836
"$2,016 ",,1867,41.21728379
"$2,016 ",,1868,65.18658804
"$2,016 ",,1869,65.36616542
"$2,016 ",,1870,72.96512392
"$2,016 ",,1871,86.59620205
"$2,016 ",,1872,72.62907269
"$2,016 ",,1873,36.51406676
"$2,016 ",,1874,24.71829785
"$2,016 ",,1875,29.38538905
"$2,016 ",,1876,57.46476081
"$2,016 ",,1877,54.3221567
"$2,016 ",,1878,29.47545921
"$2,016 ",,1879,22.06236352
"$2,016 ",,1880,23.53082878
"$2,016 ",,1881,21.30159237
"$2,016 ",,1882,19.32004889
"$2,016 ",,1883,25.65391107
"$2,016 ",,1884,22.34740698
"$2,016 ",,1885,23.41156922
"$2,016 ",,1886,18.88887971
"$2,016 ",,1887,17.82471747
"$2,016 ",,1888,23.41156922
"$2,016 ",,1889,25.00781257
"$2,016 ",,1890,23.14552866
"$2,016 ",,1891,17.82471747
"$2,016 ",,1892,14.89827132
"$2,016 ",,1893,17.02659579
"$2,016 ",,1894,23.20692263
"$2,016 ",,1895,39.07603735
"$2,016 ",,1896,33.90420888
"$2,016 ",,1897,22.69858052
"$2,016 ",,1898,26.14646617
"$2,016 ",,1899,37.06477072
"$2,016 ",,1900,34.19153268
"$2,016 ",,1901,27.58308519
"$2,016 ",,1902,22.10183108
"$2,016 ",,1903,25.00781257
"$2,016 ",,1904,22.8794881
"$2,016 ",,1905,16.49451468
"$2,016 ",,1906,19.42096083
"$2,016 ",,1907,18.47081597
"$2,016 ",,1908,19.15492027
"$2,016 ",,1909,18.62283915
"$2,016 ",,1910,15.64888576
"$2,016 ",,1911,15.64888576
"$2,016 ",,1912,18.32927715
"$2,016 ",,1913,22.97623012
"$2,016 ",,1914,19.32781171
"$2,016 ",,1915,15.11928897
"$2,016 ",,1916,24.1619847
"$2,016 ",,1917,29.177843
"$2,016 ",,1918,31.53043961
"$2,016 ",,1919,27.87870911
"$2,016 ",,1920,36.76002414
"$2,016 ",,1921,23.18959634
"$2,016 ",,1922,23.03783992
"$2,016 ",,1923,18.83666139
"$2,016 ",,1924,20.06062508
"$2,016 ",,1925,22.98710244
"$2,016 ",,1926,25.48000715
"$2,016 ",,1927,17.95612371
"$2,016 ",,1928,16.37954172
"$2,016 ",,1929,17.77950255
"$2,016 ",,1930,17.09651463
"$2,016 ",,1931,10.23857862
"$2,016 ",,1932,15.27834161
"$2,016 ",,1933,12.40125769
"$2,016 ",,1934,17.91412248
"$2,016 ",,1935,16.95066238
"$2,016 ",,1936,18.86975835
"$2,016 ",,1937,19.71412698
"$2,016 ",,1938,19.23677706
"$2,016 ",,1939,17.61387372
"$2,016 ",,1940,17.4449568
"$2,016 ",,1941,18.57250968
"$2,016 ",,1942,17.5135028
"$2,016 ",,1943,16.64400544
"$2,016 ",,1944,16.4952011
"$2,016 ",,1945,13.99144807
"$2,016 ",,1946,13.74952102
"$2,016 ",,1947,20.40203504
"$2,016 ",,1948,19.82575423
"$2,016 ",,1949,17.91301845
"$2,016 ",,1950,17.03620087
"$2,016 ",,1951,15.78444437
"$2,016 ",,1952,15.45201067
"$2,016 ",,1953,17.3010246
"$2,016 ",,1954,17.21764617
"$2,016 ",,1955,17.28712819
"$2,016 ",,1956,17.0369929
"$2,016 ",,1957,16.18391202
"$2,016 ",,1958,17.25784734
"$2,016 ",,1959,17.10808297
"$2,016 ",,1960,15.38132861
"$2,016 ",,1961,14.42922084
"$2,016 ",,1962,14.2736963
"$2,016 ",,1963,14.10521139
"$2,016 ",,1964,13.91080572
"$2,016 ",,1965,13.67751892
"$2,016 ",,1966,13.30598808
"$2,016 ",,1967,12.93013712
"$2,016 ",,1968,12.411722
"$2,016 ",,1969,11.77666348
"$2,016 ",,1970,11.12000432
"$2,016 ",,1971,13.25760267
"$2,016 ",,1972,14.23164708
"$2,016 ",,1973,17.77441441
"$2,016 ",,1974,56.39161271
"$2,016 ",,1975,51.4437484
"$2,016 ",,1976,53.97661427
"$2,016 ",,1977,55.09139879
"$2,016 ",,1978,51.60886718
"$2,016 ",,1979,104.4989156
"$2,016 ",,1980,107.2749734
"$2,016 ",,1981,94.86745336
"$2,016 ",,1982,82.00031907
"$2,016 ",,1983,71.20689608
"$2,016 ",,1984,66.48124601
"$2,016 ",,1985,61.4739119
"$2,016 ",,1986,31.59946177
"$2,016 ",,1987,38.9484023
"$2,016 ",,1988,30.27748499
"$2,016 ",,1989,35.27737722
"$2,016 ",,1990,43.56819398
"$2,016 ",,1991,35.24928393
"$2,016 ",,1992,33.05157541
"$2,016 ",,1993,28.18900353
"$2,016 ",,1994,25.61583245
"$2,016 ",,1995,26.79870239
"$2,016 ",,1996,31.61620074
"$2,016 ",,1997,28.55049625
"$2,016 ",,1998,18.72299245
"$2,016 ",,1999,25.88802198
"$2,016 ",,2000,39.71607013
"$2,016 ",,2001,33.12651028
"$2,016 ",,2002,33.38386078
"$2,016 ",,2003,37.60636173
"$2,016 ",,2004,48.61761702
"$2,016 ",,2005,67.00175693
"$2,016 ",,2006,77.5547173
"$2,016 ",,2007,83.79337298
"$2,016 ",,2008,108.4151835
"$2,016 ",,2009,68.99292547
"$2,016 ",,2010,87.49809468
