,Country,Code,Year,College Enrolment ratio
14,Afghanistan,AFG,2003,1.2568399909999999
15,Afghanistan,AFG,2004,1.256029963
16,Afghanistan,AFG,2009,3.9033899310000004
40,Albania,ALB,2000,15.6037302
41,Albania,ALB,2001,15.97496033
42,Albania,ALB,2002,16.43170929
43,Albania,ALB,2003,16.80555916
44,Albania,ALB,2004,20.05554008
45,Albania,ALB,2005,23.31110001
46,Albania,ALB,2006,26.62043953
47,Albania,ALB,2007,30.65366936
48,Albania,ALB,2008,32.07780075
49,Albania,ALB,2009,33.40074921
50,Albania,ALB,2010,44.54064941
65,Algeria,DZA,2001,15.56346035
66,Algeria,DZA,2002,17.27210999
67,Algeria,DZA,2003,18.47307014
68,Algeria,DZA,2004,19.04335976
69,Algeria,DZA,2005,20.76147079
70,Algeria,DZA,2006,21.2300396
71,Algeria,DZA,2007,23.4881897
72,Algeria,DZA,2009,29.81871986
73,Algeria,DZA,2010,29.83456039
85,Angola,AGO,2002,0.796679974
86,Angola,AGO,2003,2.951679945
87,Angola,AGO,2004,2.219850063
88,Angola,AGO,2005,2.7487800119999997
89,Angola,AGO,2006,2.69178009
92,Antigua and Barbuda,ATG,2009,14.81005001
93,Antigua and Barbuda,ATG,2010,16.2319603
126,Arab World,,2000,18.16090012
127,Arab World,,2001,18.76543045
128,Arab World,,2002,19.56946945
129,Arab World,,2003,19.55899048
130,Arab World,,2004,20.69919014
131,Arab World,,2005,21.73147964
132,Arab World,,2006,22.19148064
133,Arab World,,2007,22.73653984
134,Arab World,,2008,23.43787003
135,Arab World,,2009,24.09880066
136,Arab World,,2010,24.76180077
163,Argentina,ARG,2000,53.17573929
164,Argentina,ARG,2001,58.33248901
165,Argentina,ARG,2002,62.23300934
166,Argentina,ARG,2003,64.80724335
167,Argentina,ARG,2004,65.23638916
168,Argentina,ARG,2005,63.78536987
169,Argentina,ARG,2006,66.83110046
170,Argentina,ARG,2007,66.35090637
171,Argentina,ARG,2008,68.14135742
172,Argentina,ARG,2009,70.53328705
173,Argentina,ARG,2010,73.93920135
190,Armenia,ARM,2000,34.85655975
191,Armenia,ARM,2001,32.81435013
192,Armenia,ARM,2002,35.23865891
193,Armenia,ARM,2003,36.20452118
194,Armenia,ARM,2004,36.79804993
195,Armenia,ARM,2005,38.36658859
196,Armenia,ARM,2006,41.76501846
197,Armenia,ARM,2007,44.3306694
198,Armenia,ARM,2008,46.59685135
199,Armenia,ARM,2009,49.14133835
200,Armenia,ARM,2010,50.64429855
206,Aruba,ABW,2000,29.65608025
207,Aruba,ABW,2001,29.05586052
208,Aruba,ABW,2002,26.69796944
209,Aruba,ABW,2003,26.7562809
210,Aruba,ABW,2004,26.30441093
211,Aruba,ABW,2005,31.68346977
212,Aruba,ABW,2006,30.90319061
213,Aruba,ABW,2007,33.92612839
214,Aruba,ABW,2008,35.24048996
215,Aruba,ABW,2009,35.36231995
216,Aruba,ABW,2010,37.35770035
251,Australia,AUS,2000,67.03890991
252,Australia,AUS,2001,67.00505066
253,Australia,AUS,2002,75.75243378
254,Australia,AUS,2003,73.39425659
255,Australia,AUS,2004,71.69843292
256,Australia,AUS,2005,72.29192352
257,Australia,AUS,2006,71.48291779
258,Australia,AUS,2007,72.51995087
259,Australia,AUS,2008,72.91854095
260,Australia,AUS,2009,76.76537323
261,Australia,AUS,2010,80.91708374
294,Austria,AUT,2000,56.57257843
295,Austria,AUT,2001,56.80604172
296,Austria,AUT,2002,46.53516006
297,Austria,AUT,2003,46.42351913
298,Austria,AUT,2004,47.20038986
299,Austria,AUT,2005,47.78224182
300,Austria,AUT,2006,49.41302872
301,Austria,AUT,2007,51.22851944
302,Austria,AUT,2008,56.14997864
303,Austria,AUT,2009,60.71657944
304,Austria,AUT,2010,68.73217773
321,Azerbaijan,AZE,2006,19.78945923
322,Azerbaijan,AZE,2007,19.36459923
323,Azerbaijan,AZE,2008,19.04788971
324,Azerbaijan,AZE,2009,19.05771065
325,Azerbaijan,AZE,2010,19.26004028
366,Bahrain,BHR,2003,29.42609978
367,Bahrain,BHR,2005,25.57451057
368,Bahrain,BHR,2006,24.44087029
393,Bangladesh,BGD,2000,5.445340157
394,Bangladesh,BGD,2001,6.426919937
395,Bangladesh,BGD,2002,6.130790234
396,Bangladesh,BGD,2003,6.177800179
397,Bangladesh,BGD,2004,5.694300175
398,Bangladesh,BGD,2005,6.235270022999999
399,Bangladesh,BGD,2006,7.121930122
400,Bangladesh,BGD,2007,7.678040028
401,Bangladesh,BGD,2008,8.607930182999999
402,Bangladesh,BGD,2009,10.52058029
420,Barbados,BRB,2000,40.58102036
421,Barbados,BRB,2001,39.82331848
422,Barbados,BRB,2007,59.74332047
423,Barbados,BRB,2009,75.71624756
424,Barbados,BRB,2010,69.81481171
448,Belarus,BLR,2000,54.61008072
449,Belarus,BLR,2001,56.89664841
450,Belarus,BLR,2002,59.36820984
451,Belarus,BLR,2003,62.12060928
452,Belarus,BLR,2004,64.34111786
453,Belarus,BLR,2005,67.0785675
454,Belarus,BLR,2006,69.44774628
455,Belarus,BLR,2007,71.59916687
456,Belarus,BLR,2008,71.24411774
457,Belarus,BLR,2009,74.45832062
458,Belarus,BLR,2010,79.42101288
487,Belgium,BEL,2000,57.5497818
488,Belgium,BEL,2001,58.24526978
489,Belgium,BEL,2002,59.11626816
490,Belgium,BEL,2003,59.86478043
491,Belgium,BEL,2004,61.24803162
492,Belgium,BEL,2005,61.40420151
493,Belgium,BEL,2006,61.95885849
494,Belgium,BEL,2007,61.34976959
495,Belgium,BEL,2008,62.10216904
496,Belgium,BEL,2009,65.19814301
497,Belgium,BEL,2010,67.71092224
506,Belize,BLZ,2001,14.66629982
507,Belize,BLZ,2002,16.50700951
508,Belize,BLZ,2003,15.8401804
509,Belize,BLZ,2004,15.40738964
510,Belize,BLZ,2005,16.0301609
511,Belize,BLZ,2006,17.03046036
512,Belize,BLZ,2007,18.18984032
513,Belize,BLZ,2008,19.10354042
514,Belize,BLZ,2009,22.41007996
515,Belize,BLZ,2010,21.87334061
547,Benin,BEN,2000,3.681040049
548,Benin,BEN,2001,4.464389801
549,Benin,BEN,2002,5.264689922
550,Benin,BEN,2003,5.819910049
551,Benin,BEN,2004,5.872039795
552,Benin,BEN,2005,5.784349917999999
553,Benin,BEN,2006,6.641930102999999
554,Benin,BEN,2007,7.903719902000001
555,Benin,BEN,2008,7.78704977
556,Benin,BEN,2009,9.870059967000001
557,Benin,BEN,2010,13.25990963
564,Bermuda,BMU,2006,30.01988029
565,Bermuda,BMU,2007,26.17432976
566,Bermuda,BMU,2008,25.92593002
567,Bermuda,BMU,2009,32.11095047
568,Bermuda,BMU,2010,29.8167305
578,Bhutan,BTN,2005,4.743850231000001
579,Bhutan,BTN,2006,4.9876599310000005
580,Bhutan,BTN,2007,5.398439884
581,Bhutan,BTN,2008,6.461229801
582,Bhutan,BTN,2009,6.277480125
583,Bhutan,BTN,2010,7.007679939
596,Bolivia,BOL,2000,33.56229019
597,Bolivia,BOL,2001,35.72240829
598,Bolivia,BOL,2002,36.19218063
599,Bolivia,BOL,2003,38.72576141
600,Bolivia,BOL,2004,39.09473038
601,Bolivia,BOL,2007,38.39057159
602,Bosnia and Herzegovina,BIH,2000,20.95005035
603,Bosnia and Herzegovina,BIH,2001,22.45634079
604,Bosnia and Herzegovina,BIH,2002,22.1083107
605,Bosnia and Herzegovina,BIH,2003,23.45116043
606,Bosnia and Herzegovina,BIH,2004,25.08551025
607,Bosnia and Herzegovina,BIH,2005,27.32360077
608,Bosnia and Herzegovina,BIH,2006,29.724460600000004
609,Bosnia and Herzegovina,BIH,2007,32.84711838
610,Bosnia and Herzegovina,BIH,2008,35.48450851
611,Bosnia and Herzegovina,BIH,2009,36.87733841
612,Bosnia and Herzegovina,BIH,2010,36.83292007
640,Botswana,BWA,2000,6.879330157999999
641,Botswana,BWA,2001,7.430200099999999
642,Botswana,BWA,2002,7.757589817
643,Botswana,BWA,2003,9.00992012
644,Botswana,BWA,2004,9.492659569
645,Botswana,BWA,2005,9.166080475
646,Botswana,BWA,2006,10.00275993
